audit_case_id,grid_index,x_methane,branch,status,molar_density_mol_m3,residual_helmholtz,g_bar,support_line_g_bar,gap_above_support,failure_reason
may2015-row-001-midpoint,69,0.06900000862,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,70,0.0700000086,single,accepted,15657.036798296318,-2.411134280944694,6.118440441274188,,,
may2015-row-001-midpoint,70,0.0700000086,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,70,0.0700000086,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,71,0.07100000858,single,accepted,15656.58885045927,-2.4089268323273894,6.1180438003646325,,,
may2015-row-001-midpoint,71,0.07100000858,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,71,0.07100000858,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,72,0.07200000856,single,accepted,15656.130439701927,-2.406719421226243,6.1176616976588685,,,
may2015-row-001-midpoint,72,0.07200000856,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,72,0.07200000856,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,73,0.07300000854000001,single,accepted,15655.661517667242,-2.404512046032715,6.117293937539948,,,
may2015-row-001-midpoint,73,0.07300000854000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
